Country,X..Bars.in.flag,X..Stripes.in.flag,X..Colors.in.flag,red,green,blue,gold,white,black,orange,Dominant_Color,X..Circles.in.flag,X..sun.or.stars.in.flag,crescent,triangle,text,NAmerica,SAmerica,EU,AF,AS,OS,NE,SE,SW,NW,size1,size2,size3,population,English,Spanish,French,German,Chinese,Arabic
Czechoslovakia,no bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is white,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Denmark,no bar in flag,no stripe in the flag,2 colors in the flag,has red in flag,!has green in flag,!has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Djibouti,no bar in flag,no stripe in the flag,4 colors in the flag,has red in flag,has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is blue,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Dominica,no bar in flag,no stripe in the flag,6 colors in the flag,has red in flag,has green in flag,has blue in flag,has yellow in flag,has white in flag,has black in flag,!has orange or brown in flag,main flag color is green,has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Dominican-Republic,no bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is blue,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Ecuador,no bar in flag,3 stripes in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is gold,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Egypt,no bar in flag,3 stripes in the flag,4 colors in the flag,has red in flag,!has green in flag,!has blue in flag,has yellow in flag,has white in flag,has black in flag,!has orange or brown in flag,main flag color is black,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,Speak Arabic
El-Salvador,no bar in flag,3 stripes in the flag,2 colors in the flag,!has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is blue,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Equatorial-Guinea,no bar in flag,3 stripes in the flag,4 colors in the flag,has red in flag,has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is green,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Ethiopia,no bar in flag,3 stripes in the flag,3 colors in the flag,has red in flag,has green in flag,!has blue in flag,has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is green,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Faeroes,no bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is white,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Falklands-Malvinas,no bar in flag,no stripe in the flag,6 colors in the flag,has red in flag,has green in flag,has blue in flag,has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is blue,has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,has text in flag,!in North America,in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Fiji,no bar in flag,no stripe in the flag,7 colors in the flag,has red in flag,has green in flag,has blue in flag,has yellow in flag,has white in flag,!has black in flag,has orange or brown in flag,main flag color is blue,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,!in Asia,in Oceania,!in North Eastern Hemisphere,in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Finland,no bar in flag,no stripe in the flag,2 colors in the flag,!has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is white,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
France,3 bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is white,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,Speak French,!Speak German,!Speak Chinese,!Speak Arabic
French-Guiana,3 bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is white,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,Speak French,!Speak German,!Speak Chinese,!Speak Arabic
French-Polynesia,no bar in flag,3 stripes in the flag,5 colors in the flag,has red in flag,!has green in flag,has blue in flag,has yellow in flag,has white in flag,has black in flag,!has orange or brown in flag,main flag color is red,has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,!in Asia,in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Gabon,no bar in flag,3 stripes in the flag,3 colors in the flag,!has red in flag,has green in flag,has blue in flag,has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is green,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Gambia,no bar in flag,5 stripes in the flag,4 colors in the flag,has red in flag,has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Germany-DDR,no bar in flag,3 stripes in the flag,3 colors in the flag,has red in flag,!has green in flag,!has blue in flag,has yellow in flag,!has white in flag,has black in flag,!has orange or brown in flag,main flag color is gold,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,Speak German,!Speak Chinese,!Speak Arabic
Germany-FRG,no bar in flag,3 stripes in the flag,3 colors in the flag,has red in flag,!has green in flag,!has blue in flag,has yellow in flag,!has white in flag,has black in flag,!has orange or brown in flag,main flag color is black,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,Speak German,!Speak Chinese,!Speak Arabic
Ghana,no bar in flag,3 stripes in the flag,4 colors in the flag,has red in flag,has green in flag,!has blue in flag,has yellow in flag,!has white in flag,has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Gibraltar,no bar in flag,1 stripe in the flag,3 colors in the flag,has red in flag,!has green in flag,!has blue in flag,has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is white,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Greece,no bar in flag,9 stripes in the flag,2 colors in the flag,!has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is blue,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Greenland,no bar in flag,no stripe in the flag,2 colors in the flag,has red in flag,!has green in flag,!has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is white,has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,larger than United Kingdom,larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Grenada,no bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,has green in flag,!has blue in flag,has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is gold,has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Guam,no bar in flag,no stripe in the flag,7 colors in the flag,has red in flag,has green in flag,has blue in flag,has yellow in flag,has white in flag,!has black in flag,has orange or brown in flag,main flag color is blue,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,has text in flag,!in North America,!in South America,!in Europe,!in Africa,!in Asia,in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Guatemala,3 bar in flag,no stripe in the flag,2 colors in the flag,!has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is blue,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Guinea,3 bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,has green in flag,!has blue in flag,has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is gold,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Guinea-Bissau,1 bar in flag,2 stripes in the flag,4 colors in the flag,has red in flag,has green in flag,!has blue in flag,has yellow in flag,!has white in flag,has black in flag,!has orange or brown in flag,main flag color is gold,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Guyana,no bar in flag,no stripe in the flag,5 colors in the flag,has red in flag,has green in flag,!has blue in flag,has yellow in flag,has white in flag,has black in flag,!has orange or brown in flag,main flag color is green,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,has triangle in flag,!has text in flag,!in North America,in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Haiti,2 bar in flag,no stripe in the flag,2 colors in the flag,has red in flag,!has green in flag,!has blue in flag,!has yellow in flag,!has white in flag,has black in flag,!has orange or brown in flag,main flag color is black,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Honduras,no bar in flag,3 stripes in the flag,2 colors in the flag,!has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is blue,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Hong-Kong,no bar in flag,no stripe in the flag,6 colors in the flag,has red in flag,has green in flag,has blue in flag,has yellow in flag,has white in flag,!has black in flag,has orange or brown in flag,main flag color is blue,has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,has text in flag,!in North America,!in South America,!in Europe,!in Africa,in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,Speak Chinese,!Speak Arabic
Hungary,no bar in flag,3 stripes in the flag,3 colors in the flag,has red in flag,has green in flag,!has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Iceland,no bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is blue,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
India,no bar in flag,3 stripes in the flag,4 colors in the flag,!has red in flag,has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,has orange or brown in flag,main flag color is orange,has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,larger than Turkey,more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Indonesia,no bar in flag,2 stripes in the flag,2 colors in the flag,has red in flag,!has green in flag,!has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,!in Asia,in Oceania,!in North Eastern Hemisphere,in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,larger than Turkey,more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Iran,no bar in flag,3 stripes in the flag,3 colors in the flag,has red in flag,has green in flag,!has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,has text in flag,!in North America,!in South America,!in Europe,!in Africa,in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Iraq,no bar in flag,3 stripes in the flag,4 colors in the flag,has red in flag,has green in flag,!has blue in flag,!has yellow in flag,has white in flag,has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,Speak Arabic
Ireland,3 bar in flag,no stripe in the flag,3 colors in the flag,!has red in flag,has green in flag,!has blue in flag,!has yellow in flag,has white in flag,!has black in flag,has orange or brown in flag,main flag color is white,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Israel,no bar in flag,2 stripes in the flag,2 colors in the flag,!has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is white,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Italy,3 bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,has green in flag,!has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is white,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Ivory-Coast,3 bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,has green in flag,!has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is white,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Jamaica,no bar in flag,no stripe in the flag,3 colors in the flag,!has red in flag,has green in flag,!has blue in flag,has yellow in flag,!has white in flag,has black in flag,!has orange or brown in flag,main flag color is green,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
